crl,du.t21,du.t18,du.t13
45,0.94,0.99,0.95
45.1,0.94,0.99,0.95
45.2,0.94,0.99,0.95
45.3,0.94,0.99,0.95
45.4,0.94,0.99,0.95
45.5,0.94,0.99,0.95
45.6,0.94,0.99,0.95
45.7,0.94,0.99,0.95
45.8,0.94,0.99,0.95
45.9,0.94,1,0.95
46,0.94,1,0.95
46.1,0.94,1,0.95
46.2,0.94,1,0.95
46.3,0.94,1,0.96
46.4,0.94,1,0.96
46.5,0.94,1,0.96
46.6,0.94,1,0.96
46.7,0.95,1,0.96
46.8,0.95,1,0.96
46.9,0.95,1,0.96
47,0.95,1,0.96
47.1,0.95,1,0.96
47.2,0.95,1,0.96
47.3,0.95,1,0.96
47.4,0.95,1,0.96
47.5,0.95,1,0.96
47.6,0.95,1,0.96
47.7,0.95,1,0.96
47.8,0.95,1,0.96
47.9,0.95,1,0.96
48,0.95,1,0.96
48.1,0.95,1,0.96
48.2,0.95,1,0.96
48.3,0.95,1,0.96
48.4,0.95,1,0.96
48.5,0.95,1,0.96
48.6,0.95,1,0.96
48.7,0.95,1,0.96
48.8,0.95,1,0.96
48.9,0.95,1,0.96
49,0.95,1,0.96
49.1,0.95,1,0.96
49.2,0.95,1,0.96
49.3,0.95,1,0.96
49.4,0.95,1,0.96
49.5,0.95,1,0.96
49.6,0.95,1,0.96
49.7,0.95,1,0.96
49.8,0.95,1,0.96
49.9,0.95,1,0.96
50,0.95,1,0.96
50.1,0.95,1,0.96
50.2,0.95,1,0.96
50.3,0.95,1,0.96
50.4,0.95,1,0.96
50.5,0.95,1,0.96
50.6,0.95,1,0.96
50.7,0.95,1,0.96
50.8,0.95,1,0.96
50.9,0.95,1,0.96
51,0.95,1,0.96
51.1,0.95,1,0.96
51.2,0.95,1.01,0.96
51.3,0.95,1.01,0.96
51.4,0.95,1.01,0.97
51.5,0.95,1.01,0.97
51.6,0.95,1.01,0.97
51.7,0.95,1.01,0.97
51.8,0.95,1.01,0.97
51.9,0.95,1.01,0.97
52,0.96,1.01,0.97
52.1,0.96,1.01,0.97
52.2,0.96,1.01,0.97
52.3,0.96,1.01,0.97
52.4,0.96,1.01,0.97
52.5,0.96,1.01,0.97
52.6,0.96,1.01,0.97
52.7,0.96,1.01,0.97
52.8,0.96,1.01,0.97
52.9,0.96,1.01,0.97
53,0.96,1.01,0.97
53.1,0.96,1.01,0.97
53.2,0.96,1.01,0.97
53.3,0.96,1.01,0.97
53.4,0.96,1.01,0.97
53.5,0.96,1.01,0.97
53.6,0.96,1.01,0.97
53.7,0.96,1.01,0.97
53.8,0.96,1.01,0.97
53.9,0.96,1.01,0.97
54,0.96,1.01,0.97
54.1,0.96,1.01,0.97
54.2,0.96,1.01,0.97
54.3,0.96,1.01,0.97
54.4,0.96,1.01,0.97
54.5,0.96,1.01,0.97
54.6,0.96,1.01,0.97
54.7,0.96,1.01,0.97
54.8,0.96,1.01,0.97
54.9,0.96,1.01,0.97
55,0.96,1.01,0.97
55.1,0.96,1.01,0.97
55.2,0.96,1.01,0.97
55.3,0.96,1.01,0.97
55.4,0.96,1.01,0.97
55.5,0.96,1.01,0.97
55.6,0.96,1.01,0.97
55.7,0.96,1.01,0.97
55.8,0.96,1.01,0.97
55.9,0.96,1.01,0.97
56,0.96,1.01,0.97
56.1,0.96,1.01,0.97
56.2,0.96,1.01,0.97
56.3,0.96,1.01,0.97
56.4,0.96,1.01,0.97
56.5,0.96,1.01,0.97
56.6,0.96,1.01,0.97
56.7,0.96,1.01,0.97
56.8,0.96,1.01,0.97
56.9,0.96,1.01,0.97
57,0.96,1.01,0.97
57.1,0.96,1.01,0.97
57.2,0.96,1.01,0.97
57.3,0.96,1.01,0.97
57.4,0.96,1.01,0.97
57.5,0.96,1.01,0.97
57.6,0.96,1.01,0.97
57.7,0.96,1.01,0.97
57.8,0.96,1.01,0.97
57.9,0.96,1.01,0.97
58,0.96,1.01,0.97
58.1,0.96,1.01,0.97
58.2,0.96,1.01,0.97
58.3,0.96,1.01,0.97
58.4,0.96,1.01,0.97
58.5,0.96,1.01,0.97
58.6,0.96,1.01,0.97
58.7,0.96,1.01,0.97
58.8,0.96,1.01,0.97
58.9,0.96,1.01,0.97
59,0.96,1.01,0.97
59.1,0.96,1.01,0.97
59.2,0.96,1.01,0.97
59.3,0.96,1.01,0.97
59.4,0.96,1.01,0.97
59.5,0.96,1.01,0.97
59.6,0.96,1.01,0.97
59.7,0.96,1.01,0.97
59.8,0.96,1.01,0.97
59.9,0.96,1.01,0.97
60,0.96,1.01,0.97
60.1,0.96,1.01,0.97
60.2,0.96,1.01,0.97
60.3,0.96,1.01,0.97
60.4,0.96,1.01,0.97
60.5,0.96,1.01,0.97
60.6,0.96,1.01,0.97
60.7,0.96,1.01,0.97
60.8,0.96,1.01,0.97
60.9,0.96,1.01,0.97
61,0.96,1.01,0.97
61.1,0.96,1.01,0.97
61.2,0.96,1.01,0.97
61.3,0.96,1.01,0.97
61.4,0.96,1.01,0.97
61.5,0.96,1.01,0.97
61.6,0.96,1.01,0.97
61.7,0.96,1.01,0.97
61.8,0.96,1.01,0.97
61.9,0.96,1.01,0.97
62,0.96,1.01,0.97
62.1,0.96,1.01,0.97
62.2,0.96,1.01,0.97
62.3,0.96,1.01,0.97
62.4,0.96,1.01,0.97
62.5,0.96,1.01,0.97
62.6,0.96,1.01,0.97
62.7,0.96,1.01,0.97
62.8,0.96,1.01,0.97
62.9,0.96,1.01,0.97
63,0.95,1.01,0.97
63.1,0.95,1.01,0.97
63.2,0.95,1.01,0.97
63.3,0.95,1.01,0.97
63.4,0.95,1.01,0.97
63.5,0.95,1,0.97
63.6,0.95,1,0.96
63.7,0.95,1,0.96
63.8,0.95,1,0.96
63.9,0.95,1,0.96
64,0.95,1,0.96
64.1,0.95,1,0.96
64.2,0.95,1,0.96
64.3,0.95,1,0.96
64.4,0.95,1,0.96
64.5,0.95,1,0.96
64.6,0.95,1,0.96
64.7,0.95,1,0.96
64.8,0.95,1,0.96
64.9,0.95,1,0.96
65,0.95,1,0.96
65.1,0.95,1,0.96
65.2,0.95,1,0.96
65.3,0.95,1,0.96
65.4,0.95,1,0.96
65.5,0.95,1,0.96
65.6,0.95,1,0.96
65.7,0.95,1,0.96
65.8,0.95,1,0.96
65.9,0.95,1,0.96
66,0.95,1,0.96
66.1,0.95,1,0.96
66.2,0.95,1,0.96
66.3,0.95,1,0.96
66.4,0.95,1,0.96
66.5,0.95,1,0.96
66.6,0.95,1,0.96
66.7,0.95,1,0.96
66.8,0.95,1,0.96
66.9,0.95,1,0.96
67,0.95,1,0.96
67.1,0.95,1,0.96
67.2,0.95,1,0.96
67.3,0.95,1,0.96
67.4,0.95,1,0.96
67.5,0.95,1,0.96
67.6,0.95,1,0.96
67.7,0.95,1,0.96
67.8,0.95,1,0.96
67.9,0.95,1,0.96
68,0.95,1,0.96
68.1,0.95,1,0.96
68.2,0.95,1,0.96
68.3,0.94,1,0.96
68.4,0.94,1,0.96
68.5,0.94,1,0.96
68.6,0.94,1,0.95
68.7,0.94,1,0.95
68.8,0.94,1,0.95
68.9,0.94,0.99,0.95
69,0.94,0.99,0.95
69.1,0.94,0.99,0.95
69.2,0.94,0.99,0.95
69.3,0.94,0.99,0.95
69.4,0.94,0.99,0.95
69.5,0.94,0.99,0.95
69.6,0.94,0.99,0.95
69.7,0.94,0.99,0.95
69.8,0.94,0.99,0.95
69.9,0.94,0.99,0.95
70,0.94,0.99,0.95
70.1,0.94,0.99,0.95
70.2,0.94,0.99,0.95
70.3,0.94,0.99,0.95
70.4,0.94,0.99,0.95
70.5,0.94,0.99,0.95
70.6,0.94,0.99,0.95
70.7,0.94,0.99,0.95
70.8,0.94,0.99,0.95
70.9,0.94,0.99,0.95
71,0.94,0.99,0.95
71.1,0.94,0.99,0.95
71.2,0.94,0.99,0.95
71.3,0.94,0.99,0.95
71.4,0.94,0.99,0.95
71.5,0.94,0.99,0.95
71.6,0.94,0.99,0.95
71.7,0.94,0.99,0.95
71.8,0.93,0.99,0.95
71.9,0.93,0.99,0.95
72,0.93,0.99,0.94
72.1,0.93,0.99,0.94
72.2,0.93,0.99,0.94
72.3,0.93,0.99,0.94
72.4,0.93,0.98,0.94
72.5,0.93,0.98,0.94
72.6,0.93,0.98,0.94
72.7,0.93,0.98,0.94
72.8,0.93,0.98,0.94
72.9,0.93,0.98,0.94
73,0.93,0.98,0.94
73.1,0.93,0.98,0.94
73.2,0.93,0.98,0.94
73.3,0.93,0.98,0.94
73.4,0.93,0.98,0.94
73.5,0.93,0.98,0.94
73.6,0.93,0.98,0.94
73.7,0.93,0.98,0.94
73.8,0.93,0.98,0.94
73.9,0.93,0.98,0.94
74,0.93,0.98,0.94
74.1,0.93,0.98,0.94
74.2,0.93,0.98,0.94
74.3,0.93,0.98,0.94
74.4,0.93,0.98,0.94
74.5,0.93,0.98,0.94
74.6,0.92,0.98,0.94
74.7,0.92,0.98,0.94
74.8,0.92,0.98,0.93
74.9,0.92,0.98,0.93
