"","crl","nt"
"1",45,1.01
"2",45.1,1.01
"3",45.2,1.01
"4",45.3,1.01
"5",45.4,1.01
"6",45.5,1.01
"7",45.6,1.01
"8",45.7,1.01
"9",45.8,1.01
"10",45.9,1.01
"11",46,1.01
"12",46.1,1.01
"13",46.2,1.01
"14",46.3,1.01
"15",46.4,1.01
"16",46.5,1.01
"17",46.6,1.01
"18",46.7,1.01
"19",46.8,1.01
"20",46.9,1.01
"21",47,1.01
"22",47.1,1.01
"23",47.2,1.01
"24",47.3,1.01
"25",47.4,1.01
"26",47.5,1.01
"27",47.6,1.02
"28",47.7,1.02
"29",47.8,1.03
"30",47.9,1.03
"31",48,1.03
"32",48.1,1.04
"33",48.2,1.04
"34",48.3,1.04
"35",48.4,1.05
"36",48.5,1.05
"37",48.6,1.05
"38",48.7,1.06
"39",48.8,1.06
"40",48.9,1.06
"41",49,1.07
"42",49.1,1.07
"43",49.2,1.07
"44",49.3,1.08
"45",49.4,1.08
"46",49.5,1.08
"47",49.6,1.09
"48",49.7,1.09
"49",49.8,1.09
"50",49.9,1.1
"51",50,1.1
"52",50.1,1.1
"53",50.2,1.11
"54",50.3,1.11
"55",50.4,1.11
"56",50.5,1.12
"57",50.6,1.12
"58",50.7,1.12
"59",50.8,1.13
"60",50.9,1.13
"61",51,1.13
"62",51.1,1.14
"63",51.2,1.14
"64",51.3,1.15
"65",51.4,1.15
"66",51.5,1.15
"67",51.6,1.16
"68",51.7,1.16
"69",51.8,1.16
"70",51.9,1.17
"71",52,1.17
"72",52.1,1.17
"73",52.2,1.18
"74",52.3,1.18
"75",52.4,1.18
"76",52.5,1.19
"77",52.6,1.19
"78",52.7,1.19
"79",52.8,1.2
"80",52.9,1.2
"81",53,1.2
"82",53.1,1.21
"83",53.2,1.21
"84",53.3,1.21
"85",53.4,1.22
"86",53.5,1.22
"87",53.6,1.22
"88",53.7,1.23
"89",53.8,1.23
"90",53.9,1.23
"91",54,1.24
"92",54.1,1.24
"93",54.2,1.24
"94",54.3,1.25
"95",54.4,1.25
"96",54.5,1.25
"97",54.6,1.26
"98",54.7,1.26
"99",54.8,1.26
"100",54.9,1.27
"101",55,1.27
"102",55.1,1.27
"103",55.2,1.28
"104",55.3,1.28
"105",55.4,1.28
"106",55.5,1.29
"107",55.6,1.29
"108",55.7,1.29
"109",55.8,1.3
"110",55.9,1.3
"111",56,1.3
"112",56.1,1.31
"113",56.2,1.31
"114",56.3,1.31
"115",56.4,1.32
"116",56.5,1.32
"117",56.6,1.32
"118",56.7,1.33
"119",56.8,1.33
"120",56.9,1.33
"121",57,1.34
"122",57.1,1.34
"123",57.2,1.34
"124",57.3,1.34
"125",57.4,1.35
"126",57.5,1.35
"127",57.6,1.35
"128",57.7,1.36
"129",57.8,1.36
"130",57.9,1.36
"131",58,1.37
"132",58.1,1.37
"133",58.2,1.37
"134",58.3,1.38
"135",58.4,1.38
"136",58.5,1.38
"137",58.6,1.39
"138",58.7,1.39
"139",58.8,1.39
"140",58.9,1.4
"141",59,1.4
"142",59.1,1.4
"143",59.2,1.4
"144",59.3,1.41
"145",59.4,1.41
"146",59.5,1.41
"147",59.6,1.42
"148",59.7,1.42
"149",59.8,1.42
"150",59.9,1.43
"151",60,1.43
"152",60.1,1.43
"153",60.2,1.43
"154",60.3,1.44
"155",60.4,1.44
"156",60.5,1.44
"157",60.6,1.45
"158",60.7,1.45
"159",60.8,1.45
"160",60.9,1.46
"161",61,1.46
"162",61.1,1.46
"163",61.2,1.46
"164",61.3,1.47
"165",61.4,1.47
"166",61.5,1.47
"167",61.6,1.48
"168",61.7,1.48
"169",61.8,1.48
"170",61.9,1.48
"171",62,1.49
"172",62.1,1.49
"173",62.2,1.49
"174",62.3,1.5
"175",62.4,1.5
"176",62.5,1.5
"177",62.6,1.5
"178",62.7,1.51
"179",62.8,1.51
"180",62.9,1.51
"181",63,1.52
"182",63.1,1.52
"183",63.2,1.52
"184",63.3,1.52
"185",63.4,1.53
"186",63.5,1.53
"187",63.6,1.53
"188",63.7,1.53
"189",63.8,1.54
"190",63.9,1.54
"191",64,1.54
"192",64.1,1.55
"193",64.2,1.55
"194",64.3,1.55
"195",64.4,1.55
"196",64.5,1.56
"197",64.6,1.56
"198",64.7,1.56
"199",64.8,1.56
"200",64.9,1.57
"201",65,1.57
"202",65.1,1.57
"203",65.2,1.57
"204",65.3,1.58
"205",65.4,1.58
"206",65.5,1.58
"207",65.6,1.58
"208",65.7,1.59
"209",65.8,1.59
"210",65.9,1.59
"211",66,1.59
"212",66.1,1.6
"213",66.2,1.6
"214",66.3,1.6
"215",66.4,1.6
"216",66.5,1.6
"217",66.6,1.61
"218",66.7,1.61
"219",66.8,1.61
"220",66.9,1.61
"221",67,1.62
"222",67.1,1.62
"223",67.2,1.62
"224",67.3,1.62
"225",67.4,1.63
"226",67.5,1.63
"227",67.6,1.63
"228",67.7,1.63
"229",67.8,1.63
"230",67.9,1.64
"231",68,1.64
"232",68.1,1.64
"233",68.2,1.64
"234",68.3,1.65
"235",68.4,1.65
"236",68.5,1.65
"237",68.6,1.65
"238",68.7,1.65
"239",68.8,1.66
"240",68.9,1.66
"241",69,1.66
"242",69.1,1.66
"243",69.2,1.66
"244",69.3,1.67
"245",69.4,1.67
"246",69.5,1.67
"247",69.6,1.67
"248",69.7,1.67
"249",69.8,1.68
"250",69.9,1.68
"251",70,1.68
"252",70.1,1.68
"253",70.2,1.68
"254",70.3,1.68
"255",70.4,1.69
"256",70.5,1.69
"257",70.6,1.69
"258",70.7,1.69
"259",70.8,1.69
"260",70.9,1.7
"261",71,1.7
"262",71.1,1.7
"263",71.2,1.7
"264",71.3,1.7
"265",71.4,1.7
"266",71.5,1.71
"267",71.6,1.71
"268",71.7,1.71
"269",71.8,1.71
"270",71.9,1.71
"271",72,1.71
"272",72.1,1.72
"273",72.2,1.72
"274",72.3,1.72
"275",72.4,1.72
"276",72.5,1.72
"277",72.6,1.72
"278",72.7,1.72
"279",72.8,1.73
"280",72.9,1.73
"281",73,1.73
"282",73.1,1.73
"283",73.2,1.73
"284",73.3,1.73
"285",73.4,1.73
"286",73.5,1.74
"287",73.6,1.74
"288",73.7,1.74
"289",73.8,1.74
