nt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dvpi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fbhcgT1,NA,NA,1,-0.0112,0.03199,0.0821,NA,NA,NA,NA,NA,0.0248
afpT1,NA,NA,-0.0112,1,0.0726,0.2205,NA,NA,NA,NA,NA,0.0897
plgf,NA,NA,0.03199,0.0726,1,0.162,NA,NA,NA,NA,NA,-0.2508
pappa,NA,NA,0.0821,0.2205,0.162,1,NA,NA,NA,NA,NA,-0.0975
hcg,NA,NA,NA,NA,NA,NA,1,0.8178,0.192,-0.3808,0.4197,NA
fbhcgT2,NA,NA,NA,NA,NA,NA,0.8178,1,0.1981,-0.4356,0.4384,NA
afpT2,NA,NA,NA,NA,NA,NA,0.192,0.1981,1,-0.1093,0.177,NA
ue3,NA,NA,NA,NA,NA,NA,-0.3808,-0.4356,-0.1093,1,-0.3276,NA
inha,NA,NA,NA,NA,NA,NA,0.4197,0.4384,0.177,-0.3276,1,NA
fhr,NA,NA,0.0248,0.0897,-0.2508,-0.0975,NA,NA,NA,NA,NA,1
