nt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dvpi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
fbhcgT1,NA,NA,1,0.0068,0.14692,0.217,NA,NA,NA,NA,NA,0.0203
afpT1,NA,NA,0.0068,1,-0.1021,-0.0314,NA,NA,NA,NA,NA,-0.0173
plgf,NA,NA,0.14692,-0.1021,1,0.3248,NA,NA,NA,NA,NA,-0.0783
pappa,NA,NA,0.217,-0.0314,0.3248,1,NA,NA,NA,NA,NA,-0.0571
hcg,NA,NA,NA,NA,NA,NA,1,0.8651,0.1535,-0.0416,0.4293,NA
fbhcgT2,NA,NA,NA,NA,NA,NA,0.8651,1,-0.0585,-0.0585,0.4092,NA
afpT2,NA,NA,NA,NA,NA,NA,0.1535,-0.0585,1,0.1981,0.2033,NA
ue3,NA,NA,NA,NA,NA,NA,-0.0416,-0.0585,0.1981,1,-0.0875,NA
inha,NA,NA,NA,NA,NA,NA,0.4293,0.4092,0.2033,-0.0875,1,NA
fhr,NA,NA,0.0203,-0.0173,-0.0783,-0.0571,NA,NA,NA,NA,NA,1
